year,count,cowcode,Static_median,Static_975,Static_025,Dynamic_median,Dynamic_975,Dynamic_025,Robust_median,Robust_975,Robust_025,UDS_mean,UDS_sd,UDS_median,UDS_025,UDS_975
1946,Guatemala,90,0.299892493,0.570511514,0.030703282,0.265977499,0.510560296,0.028740514,0.434457908,0.617345286,0.24722307,0.213011086,0.121849326,0.213215788,-0.024554672,0.451714415
1946,Haiti,41,-0.405146011,-0.044164588,-0.952498129,-0.355824892,-0.10403065,-0.628196985,-0.534811943,-0.366968938,-0.696940018,-0.489743907,0.235389014,-0.47965223,-0.979096137,-0.064902031
1946,Honduras,91,-0.481198306,-0.112161757,-1.036800344,-0.457230107,-0.215985229,-0.723545295,-0.760241206,-0.590482494,-0.930366046,-0.5737541,0.232712306,-0.559960305,-1.063455013,-0.164211301
1946,Hungary,310,-0.269476486,0.120706333,-0.687275479,-0.539999853,-0.276583681,-0.817029511,-0.914591691,-0.738012766,-1.085029331,-0.227006994,0.203581822,-0.220824625,-0.647825966,0.155249802
1946,Iceland,395,1.307162786,2.065409862,0.476661702,1.996578842,2.587497379,1.433516493,2.867915102,3.503671758,2.258460482,1.275308977,0.405972957,1.268576747,0.509429555,2.082723453
1946,Indonesia,850,-0.17481664,0.298366647,-0.735203391,-0.074074344,0.174216271,-0.340076958,-0.079936244,0.082705267,-0.25183245,-0.239517215,0.281554107,-0.239369519,-0.800141443,0.315151009
1946,Iran,630,-0.404143756,-0.030336703,-0.919552647,-0.331089618,-0.090775151,-0.598580264,-0.509055444,-0.341492267,-0.678853245,-0.48834969,0.235977177,-0.476448977,-0.975630147,-0.050544799
1946,Iraq,645,-0.515365414,-0.121138102,-1.06861723,-0.51690626,-0.268722462,-0.773150838,-0.889645448,-0.715771197,-1.05804515,-0.604199587,0.257508598,-0.594646982,-1.141595082,-0.125896553
1946,Ireland,205,0.736563248,1.145876968,0.380743947,0.83461689,1.120430725,0.557294828,1.329440015,1.584496052,1.044122363,0.734830628,0.226363115,0.727703199,0.312777829,1.196621141
1946,Italy,325,0.744312587,1.607452317,0.260624996,0.733234614,1.160988325,0.356881689,0.485717303,0.662507515,0.280211915,0.798891357,0.238281364,0.791920181,0.348716322,1.293908805
1946,Japan,740,0.143392585,0.860048102,-0.473312301,1.009048678,1.651636732,0.467999929,1.870447984,2.446890956,1.113299694,0.104707116,0.29573342,0.098650641,-0.451993554,0.704889664
1946,Jordan,663,-1.837829545,-1.048004587,-2.90765329,-1.924009792,-1.552588105,-2.3988551,-2.600767401,-2.303251875,-3.080204792,-1.868485493,0.483673236,-1.827366468,-2.99734119,-1.056059627
