"prob.shock","innov","type","data.id","gel","gew","intra.ranks","ranks","crossclass","crossclass.shocked","rmse","T..24","T..23","T..22","T..21","T..20","T..19","T..18","T..17","T..16","T..15","T..14","T..13","T..12","T..11","T..10","T..9","T..8","T..7","T..6","T..5","T..4","T..3","T..2","T..1","T.0","T.1","T.2","T.3","T.4","T.5","T.6","T.7","T.8","T.9","T.10","T.11","T.12","T.13","T.14","T.15","T.16","T.17","T.18","T.19","T.20","T.21","T.22","T.23","T.24"
0.1,0.05,"rob_dof",197,294,0.0546,0.555918367346939,0.738775510204082,0.878539059008274,0.887292817679558,0.909312254454077,1,1,1,1,1,0.8,0.833333333333333,0.833333333333333,0.846153846153846,0.923076923076923,0.941176470588235,0.944444444444444,0.894736842105263,0.85,0.846153846153846,0.851851851851852,0.8,0.853658536585366,0.796296296296296,0.8,0.75,0.795081967213115,0.805194805194805,0.808743169398907,0.790598290598291,0.842696629213483,0.846153846153846,0.808,0.797979797979798,0.734177215189873,0.787878787878788,0.773584905660377,0.777777777777778,0.804878048780488,0.810810810810811,0.793103448275862,0.84,0.791666666666667,0.761904761904762,0.833333333333333,0.857142857142857,0.857142857142857,0.769230769230769,0.818181818181818,0.888888888888889,0.75,0.857142857142857,0.714285714285714,0.714285714285714
0.1,0.05,"rob_dof",186,47,0.4162,0.631020408163265,0.813877551020408,0.944330508204695,0.940677966101695,0.998324633446347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96551724137931,0.96969696969697,0.95,0.962264150943396,0.985507246376812,0.988235294117647,0.97196261682243,0.969230769230769,0.981366459627329,0.952631578947368,0.941634241245136,0.956284153005464,0.993464052287582,0.992,0.979381443298969,0.986842105263158,1,1,0.948717948717949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.01,0.1,"rob_dof",128,49,0.1762,0.557551020408163,0.879183673469388,0.962882134169453,0.908163265306122,0.192423500554541,0.5,0.5,0.5,0.75,0.8,0.6,0.6,0.8,0.5,0.666666666666667,0.833333333333333,0.5,1,0.777777777777778,0.818181818181818,0.666666666666667,0.769230769230769,0.846153846153846,0.928571428571429,1,0.941176470588235,1,0.944444444444444,0.85,1,0.9,0.894736842105263,0.894736842105263,0.947368421052632,0.944444444444444,0.764705882352941,0.875,0.875,0.933333333333333,1,1,1,0.909090909090909,1,0.909090909090909,0.888888888888889,0.75,0.75,0.75,0.875,0.875,1,0.875,1
0,0.01,"rob_dof",15,0,0.0704,0.0742857142857143,0.88734693877551,0.743237336810671,NA,0.0534233148836685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.1,"rob_dof",137,0,0.073,0.391020408163265,0.773061224489796,0.980572093232403,0.964285714285714,0.179749674099787,1,1,1,1,1,1,1,0.916666666666667,1,1,1,1,0.928571428571429,0.928571428571429,1,1,0.928571428571429,0.928571428571429,0.933333333333333,0.866666666666667,0.823529411764706,0.764705882352941,0.882352941176471,0.764705882352941,1,1,1,0.9375,0.933333333333333,1,0.928571428571429,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.818181818181818,0.818181818181818,0.909090909090909,1,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1
0.01,0.1,"rob_dof",147,9,0.2802,0.469387755102041,0.815510204081633,0.922372856206465,0.918918918918919,0.204480762422495,0.833333333333333,1,1,0.833333333333333,0.857142857142857,0.875,0.888888888888889,0.888888888888889,1,0.9,0.923076923076923,0.928571428571429,1,0.875,0.833333333333333,0.722222222222222,0.80952380952381,0.904761904761905,0.904761904761905,0.904761904761905,0.863636363636364,0.772727272727273,0.863636363636364,0.869565217391304,0.652173913043478,0.772727272727273,0.761904761904762,0.842105263157895,0.777777777777778,0.823529411764706,0.764705882352941,0.8125,0.8125,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.923076923076923,0.7,0.777777777777778,0.888888888888889,0.666666666666667,0.777777777777778,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.857142857142857,0.857142857142857
0.01,0.01,"rob_dof",80,95,0.0584,0.209795918367347,0.822040816326531,0.998853454974145,1,0.296675811234863,0.5,0.636363636363636,0.636363636363636,0.636363636363636,0.545454545454545,0.454545454545455,0.454545454545455,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.307692307692308,0.357142857142857,0.333333333333333,0.4,0.466666666666667,0.5,0.5,0.526315789473684,0.526315789473684,0.578947368421053,0.636363636363636,0.636363636363636,0.739130434782609,0.791666666666667,0.782608695652174,0.782608695652174,0.739130434782609,0.684210526315789,0.684210526315789,0.705882352941177,0.666666666666667,0.642857142857143,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.692307692307692,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.5,0.5,0.444444444444444,0.555555555555556,0.555555555555556,0.666666666666667
0,0.05,"rob_dof",27,0,0.3218,0.235918367346939,0.880816326530612,0.943554724333041,NA,0.0716624301237353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.1,"rob_dof",126,16,0.1848,0.528163265306122,0.859591836734694,0.915517217829279,0.837837837837838,0.333587594427406,0.833333333333333,0.833333333333333,0.833333333333333,0.928571428571429,1,0.928571428571429,0.857142857142857,0.928571428571429,0.8,0.933333333333333,0.866666666666667,0.866666666666667,0.9375,0.9375,0.941176470588235,0.941176470588235,1,1,0.947368421052632,0.95,1,1,1,0.91304347826087,0.875,0.782608695652174,0.857142857142857,0.761904761904762,0.75,0.894736842105263,0.8125,0.875,0.875,0.733333333333333,0.8,0.8,0.866666666666667,0.928571428571429,0.857142857142857,0.857142857142857,0.928571428571429,0.923076923076923,0.818181818181818,0.8,0.8,0.6,0.777777777777778,0.75,0.625
0,0.01,"rob_dof",9,0,0.0736,0.0269387755102041,0.902040816326531,0.855550408831488,NA,0.0523838990619978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
